SourceFile,proportion,median_rank,School,Normalized Proportion,Normalized Median Rank,Specialty
Harvard_match_list.csv,0.024539877300613498,4.5,Harvard,-1.5604233656443363,-1.0415990162809288,General Surgery
Brown_match_list.csv,0.028037383177570093,25.0,Brown,-1.4507317382863438,-0.5177651043825163,General Surgery
Mayo_match_list.csv,0.029411764705882353,13.0,Mayo,-1.4076272656263809,-0.8243995893962212,General Surgery
Cornell_match_list.csv,0.03636363636363636,17.5,Cornell,-1.1895970057354397,-0.7094116575160818,General Surgery
Hopkins_match_list.csv,0.0380952380952381,2.5,Hopkins,-1.1352891021728608,-1.0927047637832128,General Surgery
Northwestern_match_list.csv,0.04032258064516129,34.0,Northwestern,-1.065433371380673,-0.28778924062223765,General Surgery
Columbia_match_list.csv,0.04065040650406504,28.0,Columbia,-1.0551518298427143,-0.44110648312909007,General Surgery
UTSW_match_list.csv,0.04950495049504951,30.0,UTSW,-0.7774484108768596,-0.39000073562680593,General Surgery
UCSD_match_list.csv,0.050724637681159424,100.0,UCSD,-0.7391955881457921,1.398700426953139,General Surgery
NYU_match_list.csv,0.05319148936170213,29.0,NYU,-0.6618281769650602,-0.415553609377948,General Surgery
UNC_match_list.csv,0.05333333333333334,31.0,UNC,-0.6573795508221681,-0.36444786187566386,General Surgery
Emory_match_list.csv,0.05405405405405406,54.0,Emory,-0.6347757206907164,0.22326823440060375,General Surgery
UPenn_match_list.csv,0.05982905982905983,7.0,UPenn,-0.45365528694511,-0.9777168319030736,General Surgery
Vanderbilt_match_list.csv,0.0625,9.0,Vanderbilt,-0.3698870863377671,-0.9266110844007894,General Surgery
Baylor_match_list.csv,0.0641025641025641,34.0,Baylor,-0.31962616597336146,-0.28778924062223765,General Surgery
UCLA_match_list.csv,0.0703125,15.0,UCLA,-0.12486509956128888,-0.773293841893937,General Surgery
Hofstra_match_list.csv,0.0707070707070707,53.0,Hofstra,-0.11249025174429511,0.19771536064946169,General Surgery
UWashington_match_list.csv,0.08032128514056225,43.5,UWashington,0.18903857024472137,-0.04503693998638797,General Surgery
Sydney Kimmel_match_list.csv,0.08133971291866028,71.0,Sydney Kimmel,0.22097933153469695,0.657667088170019,General Surgery
Yale_match_list.csv,0.08181818181818182,14.0,Yale,0.23598546278225177,-0.798846715645079,General Surgery
Colorado_match_list.csv,0.08270676691729323,93.0,Colorado,0.26385399224199596,1.2198303106951445,General Surgery
UVA_match_list.csv,0.08270676691729323,38.0,UVA,0.26385399224199596,-0.18557774561766935,General Surgery
OhioState_match_list.csv,0.08287292817679558,79.0,OhioState,0.26906527696885,0.8620900781791555,General Surgery
Einstein_match_list.csv,0.08333333333333333,101.5,Einstein,0.283504878399508,1.4370297375798522,General Surgery
Pitt_match_list.csv,0.08620689655172414,48.0,Pitt,0.37362790801844287,0.06995099189375134,General Surgery
WashU_match_list.csv,0.08791208791208792,6.0,WashU,0.42710750801209635,-1.0032697056542157,General Surgery
UChicago_match_list.csv,0.09195402298850575,10.5,UChicago,0.5538739672563117,-0.8882817737740762,General Surgery
McGovern_match_list.csv,0.09230769230769231,62.0,McGovern,0.5649660324401807,0.42769122440974033,General Surgery
University of Iowa_match_list.csv,0.09230769230769231,108.0,University of Iowa,0.5649660324401807,1.6031234169622757,General Surgery
Rutgers_match_list.csv,0.09285714285714286,61.0,Rutgers,0.5821983479936912,0.40213835065859826,General Surgery
Case Western_match_list.csv,0.09497206703910614,73.0,Case Western,0.6485283223868127,0.7087728356723031,General Surgery
USC Keck_match_list.csv,0.09655172413793103,31.5,USC Keck,0.6980708146466069,-0.3516714250000928,General Surgery
Stanford_match_list.csv,0.0967741935483871,16.0,Stanford,0.7050480814558147,-0.7477409681427949,General Surgery
University of Utah_match_list.csv,0.10377358490566038,62.0,University of Utah,0.9245686928587218,0.42769122440974033,General Surgery
University of Florida_match_list.csv,0.10606060606060606,26.0,University of Florida,0.9962961126583539,-0.4922122306313742,General Surgery
University of Miami_match_list.csv,0.11458333333333333,35.5,University of Miami,1.263592825505421,-0.24945992999552455,General Surgery
University of Alabama_match_list.csv,0.11564625850340136,68.0,University of Alabama,1.296929150236915,0.5810084669165928,General Surgery
UMich_match_list.csv,0.11612903225806452,27.5,UMich,1.3120702938568964,-0.4538829200046611,General Surgery
Geisel (Dartmouth)_match_list.csv,0.1780821917808219,35.0,Geisel (Dartmouth),3.255095731725198,-0.2622363668710956,General Surgery
Stanford_match_list.csv,0.11290322580645161,3.0,Stanford,-2.206136504665583,-1.407577231481944,Internal Medicine
McGovern_match_list.csv,0.13333333333333333,50.0,McGovern,-1.8650181031051591,0.9280319434395519,Internal Medicine
Baylor_match_list.csv,0.1346153846153846,25.0,Baylor,-1.8436118876226224,-0.31431336236975443,Internal Medicine
UMich_match_list.csv,0.14193548387096774,18.5,UMich,-1.7213893024481384,-0.637323141880174,Internal Medicine
Vanderbilt_match_list.csv,0.175,15.0,Vanderbilt,-1.169316099922716,-0.811251484693477,Internal Medicine
University of Utah_match_list.csv,0.18867924528301888,93.0,University of Utah,-0.9409158196326302,3.0648658694315585,Internal Medicine
Geisel (Dartmouth)_match_list.csv,0.1917808219178082,18.0,Geisel (Dartmouth),-0.8891292657643071,-0.6621700479963603,Internal Medicine
Colorado_match_list.csv,0.19548872180451127,32.0,Colorado,-0.8272190246736045,0.033543323256851304,Internal Medicine
Mayo_match_list.csv,0.20588235294117646,5.0,Mayo,-0.6536781446227872,-1.3081896070171994,Internal Medicine
WashU_match_list.csv,0.2087912087912088,12.0,WashU,-0.605109420418712,-0.9603329213905937,Internal Medicine
University of Alabama_match_list.csv,0.2108843537414966,35.0,University of Alabama,-0.5701604971819172,0.18262475995396807,Internal Medicine
OhioState_match_list.csv,0.2154696132596685,51.0,OhioState,-0.4936011156162318,0.9777257556719241,Internal Medicine
Columbia_match_list.csv,0.21951219512195122,13.0,Columbia,-0.4261027404253736,-0.9106391091582214,Internal Medicine
University of Minnesota_match_list.csv,0.22330097087378642,48.5,University of Minnesota,-0.362842127301514,0.8534912250909934,Internal Medicine
